Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Affiliation,LiftType
Female 3-Lift Classic Youth (14 – 18 years) 44KG,1,48,14,18,F,55,35,65,160,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 48KG,1,48,14,18,F,65,40,70,180,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 53KG,48,53,14,18,F,72,45,80,195,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 58KG,53,58,14,18,F,82,50,90,210,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 64KG,58,64,14,18,F,87,55,95,235,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 72KG,64,72,14,18,F,95,65,105,260,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 84KG,72,84,14,18,F,110,70,122,300,1,1,1
Female 3-Lift Classic Youth (14 – 18 years) 84+KG,84,500,14,18,F,125,80,140,345,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 48KG,1,48,19,23,F,77,47,80,215,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 53KG,48,53,19,23,F,82,50,87,225,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 58KG,53,58,19,23,F,92,52,97,245,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 64KG,58,64,19,23,F,102,60,107,265,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 72KG,64,72,19,23,F,112,70,120,300,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 84KG,72,84,19,23,F,120,80,140,325,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 100KG,84,100,19,23,F,130,90,150,350,1,1,1
Female 3-Lift Classic Junior (19 – 23 years) 100+KG,100,500,19,23,F,140,100,155,395,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 48KG,1,48,24,39,F,85,55,100,245,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 53KG,48,53,24,39,F,95,60,120,320,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 58KG,53,58,24,39,F,115,70,135,340,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 64KG,58,64,24,39,F,125,80,165,360,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 72KG,64,72,24,39,F,141,85,179,376,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 84KG,72,84,24,39,F,147,94,184,427,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 100KG,84,100,24,39,F,185,94,189,455,1,1,1
Female 3-Lift Classic Open (24 – 39 years) 100+KG,100,500,24,39,F,227,119,251,598,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 48KG,1,48,40,44,F,75,52,95,220,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 53KG,48,53,40,44,F,87,57,105,260,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 58KG,53,58,40,44,F,95,65,115,285,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 64KG,58,64,40,44,F,107,75,142,310,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 72KG,64,72,40,44,F,142,80,162,377,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 84KG,72,84,40,44,F,148,95,185,428,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 100KG,84,100,40,44,F,186,90,190,456,1,1,1
Female 3-Lift Classic Masters 1 (40 – 44 years) 100+KG,100,500,40,44,F,171,95,180,435,1,1,1
Female 3-Lift Classic Masters 2 (45 – 49 years) 48KG,1,48,45,49,F,70,45,80,210,1,1,1
Female 3-Lift Classic Masters 2 (45 – 49 years) 53KG,48,53,45,49,F,82,50,95,225,1,1,1
