Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Affiliation,LiftType
Female Bench Only Classic Youth (14 – 18 years) 44KG,1,48,14,18,F,,35,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 48KG,1,48,14,18,F,,40,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 53KG,48,53,14,18,F,,45,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 58KG,53,58,14,18,F,,50,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 64KG,58,64,14,18,F,,55,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 72KG,64,72,14,18,F,,60,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 84KG,72,84,14,18,F,,65,,,1,1,1
Female Bench Only Classic Youth (14 – 18 years) 84+KG,84,500,14,18,F,,70,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 48KG,1,48,19,23,F,,50,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 53KG,48,53,19,23,F,,55,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 58KG,53,58,19,23,F,,60,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 64KG,58,64,19,23,F,,65,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 72KG,64,72,19,23,F,,70,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 84KG,72,84,19,23,F,,75,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 100KG,84,100,19,23,F,,80,,,1,1,1
Female Bench Only Classic Junior (19 – 23 years) 100+KG,100,500,19,23,F,,85,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 48KG,1,48,24,39,F,,55,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 53KG,48,53,24,39,F,,60,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 58KG,53,58,24,39,F,,70,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 64KG,58,64,24,39,F,,80,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 72KG,64,72,24,39,F,,90,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 84KG,72,84,24,39,F,,100,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 100KG,84,100,24,39,F,,105,,,1,1,1
Female Bench Only Classic Open (24 – 39 years) 100+KG,100,500,24,39,F,,110,,,1,1,1
Female Bench Only Classic Masters 1 (40 – 44 years) 48KG,1,48,40,44,F,,50,,,1,1,1
Female Bench Only Classic Masters 1 (40 – 44 years) 53KG,48,53,40,44,F,,55,,,1,1,1
