Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Youth (14 – 18 years) 44KG",1,48,14,18,F,0,35,0,0,1,,4,4
"Female Bench Only Classic Youth (14 – 18 years) 48KG",1,48,14,18,F,0,40,0,0,1,[84],4,4
"Female Bench Only Classic Youth (14 – 18 years) 53KG",48,53,14,18,F,0,45,0,0,1,[94],4,4
"Female Bench Only Classic Youth (14 – 18 years) 58KG",53,58,14,18,F,0,50,0,0,1,[104],4,4
"Female Bench Only Classic Youth (14 – 18 years) 64KG",58,64,14,18,F,0,55,0,0,1,[114],4,4
"Female Bench Only Classic Youth (14 – 18 years) 72KG",64,72,14,18,F,0,60,0,0,1,[124],4,4
"Female Bench Only Classic Youth (14 – 18 years) 84KG",72,84,14,18,F,0,65,0,0,1,[134],4,4
"Female Bench Only Classic Youth (14 – 18 years) 84+KG",84,500,14,18,F,0,70,0,0,1,,4,4
"Female Bench Only Classic Junior (19 – 23 years) 48KG",1,48,19,23,F,0,50,0,0,1,[164],4,4
"Female Bench Only Classic Junior (19 – 23 years) 53KG",48,53,19,23,F,0,55,0,0,1,[174],4,4
"Female Bench Only Classic Junior (19 – 23 years) 58KG",53,58,19,23,F,0,60,0,0,1,[184],4,4
"Female Bench Only Classic Junior (19 – 23 years) 64KG",58,64,19,23,F,0,65,0,0,1,[44],4,4
"Female Bench Only Classic Junior (19 – 23 years) 72KG",64,72,19,23,F,0,70,0,0,1,[54],4,4
"Female Bench Only Classic Junior (19 – 23 years) 84KG",72,84,19,23,F,0,75,0,0,1,[214],4,4
"Female Bench Only Classic Junior (19 – 23 years) 100KG",84,100,19,23,F,0,80,0,0,1,[224],4,4
"Female Bench Only Classic Junior (19 – 23 years) 100+KG",100,500,19,23,F,0,85,0,0,1,[234],4,4
"Female Bench Only Classic Open (24 – 39 years) 48KG",1,48,24,39,F,0,55,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 53KG",48,53,24,39,F,0,60,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 58KG",53,58,24,39,F,0,70,0,0,1,,4,4
