Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Affiliation,LiftType
Male 3 Lift Classic Youth (14 – 18 years) 56KG,1,56,14,18,M,130,80,140,340,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 62KG,56,62,14,18,M,140,90,160,380,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 69KG,62,69,14,18,M,155,100,170,425,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 77KG,69,77,14,18,M,165,110,215,477,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 85KG,77,85,14,18,M,175,127,240,542,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 94KG,85,94,14,18,M,185,130,195,500,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 105KG,94,105,14,18,M,195,135,205,515,1,1,1
Male 3 Lift Classic Youth (14 – 18 years) 105+KG,105,500,14,18,M,205,140,215,530,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 62KG,1,62,19,23,M,142,90,155,370,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 69KG,62,69,19,23,M,150,100,167,410,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 77KG,69,77,19,23,M,183,111,241,535,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 85KG,77,85,19,23,M,172,120,187,470,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 94KG,85,94,19,23,M,180,130,197,500,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 105KG,94,105,19,23,M,192,140,207,530,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 120KG,105,120,19,23,M,205,150,220,550,1,1,1
Male 3 Lift Classic Junior (19 – 23 years) 120+KG,120,500,19,23,M,220,155,235,575,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 62KG,1,62,24,39,M,170,110,190,460,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 69KG,62,69,24,39,M,180,125,200,500,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 77KG,69,77,24,39,M,207,137,260,565,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 85KG,77,85,24,39,M,215,155,240,600,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 94KG,85,94,24,39,M,230,165,250,640,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 105KG,94,105,24,39,M,260,180,268,700,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 120KG,105,120,24,39,M,300,215,327,797,1,1,1
Male 3 Lift Classic Open (24 – 39 years) 120+KG,120,500,24,39,M,280,205,300,745,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 62KG,1,62,40,44,M,145,92,160,375,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 69KG,62,69,40,44,M,150,105,170,415,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 77KG,69,77,40,44,M,165,115,185,450,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 85KG,77,85,40,44,M,202,155,220,565,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 94KG,85,94,40,44,M,205,130,220,580,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 105KG,94,105,40,44,M,208,135,230,580,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 120KG,105,120,40,44,M,220,145,250,600,1,1,1
Male 3 Lift Classic Masters 1 (40 – 44 years) 120+KG,120,500,40,44,M,230,150,260,610,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 62KG,1,62,45,49,M,135,85,150,355,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 69KG,62,69,45,49,M,140,100,162,390,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 77KG,69,77,45,49,M,155,107,170,425,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 85KG,77,85,45,49,M,165,115,175,455,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 94KG,85,94,45,49,M,170,125,185,465,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 105KG,94,105,45,49,M,208,130,200,480,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 120KG,105,120,45,49,M,215,140,210,500,1,1,1
Male 3 Lift Classic Masters 2 (45 – 49 years) 120+KG,120,500,45,49,M,200,145,220,565,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 62KG,1,62,50,54,M,125,80,125,330,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 69KG,62,69,50,54,M,130,90,130,345,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 77KG,69,77,50,54,M,140,100,185,360,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 85KG,77,85,50,54,M,150,105,150,395,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 94KG,85,94,50,54,M,160,110,160,420,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 105KG,94,105,50,54,M,165,111,180,440,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 120KG,105,120,50,54,M,170,120,185,450,1,1,1
Male 3 Lift Classic Masters 3 (50 – 54 years) 120+KG,120,500,50,54,M,175,135,190,500,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 62KG,1,62,55,59,M,105,75,120,310,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 69KG,62,69,55,59,M,115,85,130,330,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 77KG,69,77,55,59,M,140,90,185,412,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 85KG,77,85,55,59,M,130,95,155,380,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 94KG,85,94,55,59,M,170,115,185,470,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 105KG,94,105,55,59,M,205,115,268,580,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 120KG,105,120,55,59,M,165,115,208,458,1,1,1
Male 3 Lift Classic Masters 4 (55 – 59 years) 120+KG,120,500,55,59,M,170,120,195,485,1,1,1
Male 3 Lift Classic Masters 5 (60 – 64 years) 62KG,1,62,60,64,M,105,65,115,282,1,1,1
Male 3 Lift Classic Masters 5 (60 – 64 years) 69KG,62,69,60,64,M,110,75,120,310,1,1,1
Male 3 Lift Classic Masters 5 (60 – 64 years) 77KG,69,77,60,64,M,140,87,185,412,1,1,1
